coc_code,coc_name,state_code,total_2010_population,total_pills_2010
ak-500,anchorage coc,ak,291826,9320100
ak-501,alaska balance of state coc,ak,410946,11512680
al-500,"birmingham/jefferson, st. clair, shelby counties coc",al,937144,47685770
al-501,mobile city & county/baldwin county coc,al,595257,33433109
al-502,florence/northwest alabama coc,al,268440,18812520
al-503,huntsville/north alabama coc,al,537083,28774542
al-504,montgomery city & county coc,al,389128,15666000
al-506,tuscaloosa city & county coc,al,194656,7400900
al-507,alabama balance of state coc,al,1524825,81189849
ar-500,little rock/central arkansas coc,ar,566937,24502010
ar-501,fayetteville/northwest arkansas coc,ar,481170,19846490
ar-503,arkansas balance of state coc,ar,850214,43545300
ar-504,delta hills coc,ar,362207,18455780
ar-505,southeast arkansas coc,ar,319603,13083230
ar-512,"boone, baxter, marion, newton counties coc",ar,103399,5455400
az-500,arizona balance of state coc,az,1590895,62079440
az-501,tucson/pima county coc,az,952569,41702140
az-502,"phoenix, mesa/maricopa county coc",az,3820859,139854879
ca-500,san jose/santa clara city & county coc,ca,1788601,29208810
ca-501,san francisco coc,ca,805235,18149710
ca-502,"oakland, berkeley/alameda county coc",ca,1513823,36462790
ca-503,sacramento city & county coc,ca,1418788,59977790
ca-504,"santa rosa, petaluma/sonoma county coc",ca,483878,18926140
ca-505,richmond/contra costa county coc,ca,1049025,33841520
ca-506,"salinas/monterey, san benito counties coc",ca,470326,13599350
ca-507,marin county coc,ca,252409,7696310
ca-508,watsonville/santa cruz city & county coc,ca,262382,9907390
ca-509,mendocino county coc,ca,87841,5687360
ca-510,"turlock, modesto/stanislaus county coc",ca,514453,30987120
ca-511,stockton/san joaquin county coc,ca,685306,27740310
ca-512,daly city/san mateo county coc,ca,718451,16789550
ca-513,"visalia/kings, tulare counties coc",ca,595161,22443620
ca-514,fresno city & county/madera county coc,ca,1081315,36505240
ca-515,"roseville, rocklin/placer, nevada counties coc",ca,447196,24391090
ca-516,"redding/shasta, siskiyou, lassen, plumas, del norte, modoc, sierra counties coc",ca,318561,28427000
ca-517,napa city & county coc,ca,136484,4554600
ca-518,vallejo/solano county coc,ca,413344,15877931
ca-519,"chico, paradise/butte county coc",ca,220000,19574960
ca-520,merced city & county coc,ca,255793,8573330
ca-521,"davis, woodland/yolo county coc",ca,200849,6288926
ca-522,humboldt county coc,ca,134623,10487680
ca-523,"colusa, glenn, trinity counties coc",ca,63327,3701820
ca-524,yuba city & county/sutter county coc,ca,166892,11905600
ca-525,el dorado county coc,ca,181058,8361760
ca-526,"tuolumne, amador, calaveras, mariposa counties coc",ca,157285,11279290
ca-527,tehama county coc,ca,63463,4463060
ca-529,lake county coc,ca,64665,6989990
ca-530,"alpine, inyo, mono counties coc",ca,33923,1016460
ca-600,los angeles city & county coc,ca,9023725,167183170.5
